"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured",Name,Description,Category,Keywords,"Post types",Mode,Align,"Icon Type",Icon,"Icon background","Icon foreground","Icon src","Render template","Render callback","Enqueue style","Enqueue script","Enqueue assets",Align,"Align arguments",Anchor,"Inner Block","Align Content","Align content",Mode,Multiple,"Form name","Field groups",Actions,"Field groups locations rules","Form element","Form attributes","Fields class","Submit button","Submit value","Submit button","Submit spinner",Honeypot,Kses,Uploader,"Field element","Label placement","Instruction placement","Override Form render","HTML Before render","HTML Form render","HTML After render","Hide general error","Hide successful re-validation","Hide confirmation on exit","Fields errors position","Fields errors class",Redirection,"Hide form","Success message","Success wrapper HTML",Field,Fields,"Get Field","Get Option",Request,"Query Var","Form Settings","Action Output: Post","Action Output: Term","Action Output: User","Action Output: Email","Current Post","Current Term","Current User","Current Author","Menu slug","Menu title",Capability,Position,"Parent slug","Icon url",Redirect,"Post ID",Autoload,"Update button","Updated Message",Name,Description,Hierarchical,Supports,Taxonomies,Public,"Exclude from search","Publicly queryable","Can export","Delete with user","Menu position","Menu icon","Show UI","Show in menu","Show in menu (text)","Show in nav menus","Show in admin bar",Template,"Has archive",Slug,"Posts per page","Order by",Order,Template,Rewrite,"Rewrite Arguments","Rewrite Arguments","Archive Page","Posts per page","Order by",Order,Labels,"Capability type",Capabilities,"Map meta cap","Show in rest","Rest base","Rest controller class",Name,Description,Hierarchical,"Post types",Public,"Publicly queryable","Update count callback","Meta box callback","Meta box callback",Sort,"Show UI","Show in menu","Show in nav menus","Show tagcloud","Show in quick edit","Show admin column",Template,"Posts per page","Order by",Order,Rewrite,"Rewrite Arguments","Rewrite Arguments","Terms per page","Order by",Order,Labels,Capabilities,"Show in rest","Rest base","Rest controller class","Service Hero Title","Service Hero Subtitle","Service Hero Intro","Offerings Heading","CTA Heading","CTA Subheading","CTA Button Text","CTA Button Link","Detailed Process","Client Name","Project Year","Project URL","The Challenge","Our Solution","Project Gallery","Project Types",Industries
11,https://casestudy-labs.com/project-type/branding-production/,"Branding &amp; Production",branding-production,"From brand identity to print production, we create lasting impressions. We design logos, guidelines, and collateral that captivate and convert. Case Study Labs.",0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://casestudy-labs.com/project-type/brochure-design/,"Brochure Design",brochure-design,"Tell your brand's story with professionally designed brochures. We create stunning layouts and compelling content for marketing, sales, and event materials.",11,"Branding &amp; Production",branding-production,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://casestudy-labs.com/project-type/tri-fold-design/,"Tri-fold Design",tri-fold-design,"Maximize your impact in a compact format. Our tri-fold design service creates clear, persuasive, and beautifully organized marketing collateral for any need.",11,"Branding &amp; Production",branding-production,1,http://casestudy-labs.com/wp-content/uploads/2025/06/CASE-STUDY-LABS-BRANDING-STRATEGY-DESIGN-MEDIA-PERFORMANCE-MARKETING-FOR-CANNABIS-AND-CULTRE.png,CASE-STUDY-LABS-BRANDING-STRATEGY-DESIGN-MEDIA-PERFORMANCE-MARKETING-FOR-CANNABIS-AND-CULTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://casestudy-labs.com/project-type/print-collateral/,"Print Collateral",print-collateral,"Make a tangible impression with stunning Print Collateral. We design business cards, stationery, and marketing materials that reflect your brand's quality.",11,"Branding &amp; Production",branding-production,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://casestudy-labs.com/project-type/strategy/,Strategy,strategy,"Drive growth with our expert Brand &amp; Creative Strategy. We combine market research and brand positioning to create a clear roadmap for your success. See our work.",0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://casestudy-labs.com/project-type/web-design/,"Web Design",web-design,"Elevate your online presence with expert Web Design by Case Study Labs. We create beautiful, responsive, and high-performing websites that drive business growth.",0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://casestudy-labs.com/project-type/content-social/,"Content &amp; Social",content-social,"Engage your audience and build a loyal community with strategic content. Our social media and content marketing services create compelling narratives that drive action.",0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://casestudy-labs.com/project-type/media-buying/,"Media Buying",media-buying,"Maximize your ROI with data-driven Media Buying from Case Study Labs. We execute targeted ad campaigns across platforms to connect with your audience and boost conversions.",0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,https://casestudy-labs.com/project-type/lifecycle-marketing/,"Lifecycle Marketing",lifecycle-marketing,"Nurture leads into loyal customers with Lifecycle Marketing. We automate the customer journey with targeted email, SMS, and personalization strategies that build value.",0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,https://casestudy-labs.com/project-type/brand-strategy/,"Brand Strategy",brand-strategy,"Define your brand’s core purpose and direction. Our Brand Strategy service builds the foundation for lasting market relevance and customer loyalty. Case Study Labs.",16,Strategy,strategy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,https://casestudy-labs.com/project-type/creative-strategy/,"Creative Strategy",creative-strategy,"Translate your brand strategy into compelling campaigns. Our Creative Strategy service develops the core ideas and messaging that will captivate your audience.",16,Strategy,strategy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://casestudy-labs.com/project-type/market-research/,"Market Research",market-research,"Make smarter business decisions with in-depth Market Research. We uncover key customer insights, competitor analysis, and market trends to inform your strategy.",16,Strategy,strategy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://casestudy-labs.com/project-type/brand-positioning/,"Brand Positioning",brand-positioning,"Secure your unique place in the market. Our Brand Positioning service defines how your brand is perceived, creating a clear advantage over your competition.",16,Strategy,strategy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://casestudy-labs.com/project-type/social-media-strategy/,"Social Media Strategy",social-media-strategy,"Develops the plan for a brand's presence on social platforms, including channel selection, tone of voice, and campaign objectives",18,"Content &amp; Social",content-social,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,https://casestudy-labs.com/project-type/copywriting-editing/,"Copywriting &amp; Editing",copywriting-editing,"Crafting persuasive and brand-aligned text for websites, ads, social media, and other marketing materials.",18,"Content &amp; Social",content-social,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://casestudy-labs.com/project-type/blog-article-writing/,"Blog &amp; Article Writing",blog-article-writing,"Creating SEO-friendly, long-form content that builds authority, drives organic traffic, and educates your audience.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://casestudy-labs.com/project-type/social-media-management/,"Social Media Management",social-media-management,"The day-to-day execution of the social strategy, including content scheduling, posting, and performance monitoring.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://casestudy-labs.com/project-type/community-management/,"Community Management",community-management," Actively engaging with your online audience by responding to comments, messages, and fostering a loyal brand community.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,https://casestudy-labs.com/project-type/video-motion-graphics/,"Video &amp; Motion Graphics",video-motion-graphics,"Producing video content for ads, social media, and websites, from short-form reels to animated explainer videos.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,https://casestudy-labs.com/project-type/influencer-marketing/,"Influencer Marketing",influencer-marketing,"Identifying and collaborating with influencers to promote your brand to their established audiences.",18,"Content &amp; Social",content-social,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
