service_id,post_title,post_parent,post_status,_wp_page_template,service_hero_title,service_hero_subtitle,service_hero_intro,offerings_heading,cta_heading,cta_subheading,cta_button_text,cta_button_link,offering_title,offering_description
1,Strategy,20,publish,template-service-landing.php,Strategy,"Our Approach To","We build a digital playbook around what makes your business unique, helping you to leverage strengths and make a greater impact.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Market Analysis","We identify your unique position and opportunities within the competitive landscape."
1,Strategy,20,publish,template-service-landing.php,Strategy,"Our Approach To","We build a digital playbook around what makes your business unique, helping you to leverage strengths and make a greater impact.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Brand Positioning","We define your core message and value proposition to resonate with your target audience."
1,Strategy,20,publish,template-service-landing.php,Strategy,"Our Approach To","We build a digital playbook around what makes your business unique, helping you to leverage strengths and make a greater impact.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Growth Roadmap","We create a step-by-step plan for achieving your long-term business goals."
2,"Branding & Production",20,publish,template-service-landing.php,"Branding & Production","Our Approach To","Combining creative insight and deft design, we develop a visual aesthetic to truly distinguish your brand and make it resonate.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Visual Identity Design","Logo systems, color palettes, and typography that form a cohesive brand world."
2,"Branding & Production",20,publish,template-service-landing.php,"Branding & Production","Our Approach To","Combining creative insight and deft design, we develop a visual aesthetic to truly distinguish your brand and make it resonate.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Creative Direction","Overseeing photo and video shoots to ensure all content aligns with the brand's vision."
2,"Branding & Production",20,publish,template-service-landing.php,"Branding & Production","Our Approach To","Combining creative insight and deft design, we develop a visual aesthetic to truly distinguish your brand and make it resonate.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Packaging & Collateral","Designing physical touchpoints that create a memorable unboxing experience."
3,"Media Buying",20,publish,template-service-landing.php,"Media Buying","Our Approach To","We develop data-driven campaigns to target your consumer’s ideal touchpoints, ensuring the right people see the right message.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Audience Targeting","Using data to find and engage your ideal customers on the right platforms."
3,"Media Buying",20,publish,template-service-landing.php,"Media Buying","Our Approach To","We develop data-driven campaigns to target your consumer’s ideal touchpoints, ensuring the right people see the right message.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Campaign Management","Optimizing ad spend and performance for maximum return on investment."
3,"Media Buying",20,publish,template-service-landing.php,"Media Buying","Our Approach To","We develop data-driven campaigns to target your consumer’s ideal touchpoints, ensuring the right people see the right message.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Performance Analytics","Providing clear reports on what’s working and how to improve."
4,"Web Design",20,publish,template-service-landing.php,"Web Design","Our Approach To","Using UX-focused frameworks, we create an online journey to turn your prospects into conversions.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","UI/UX Design","Crafting intuitive and beautiful interfaces that guide users to action."
4,"Web Design",20,publish,template-service-landing.php,"Web Design","Our Approach To","Using UX-focused frameworks, we create an online journey to turn your prospects into conversions.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Custom Development","Building fast, responsive, and future-proof websites on WordPress or other platforms."
4,"Web Design",20,publish,template-service-landing.php,"Web Design","Our Approach To","Using UX-focused frameworks, we create an online journey to turn your prospects into conversions.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","E-commerce Integration","Creating seamless shopping experiences that drive sales."
5,"Content & Social",20,publish,template-service-landing.php,"Content & Social","Our Approach To","Providing customized content and organic social curation, we leverage SEO insights to grow your audiences through engagement.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Content Strategy","Planning and creating valuable blog posts, articles, and videos."
5,"Content & Social",20,publish,template-service-landing.php,"Content & Social","Our Approach To","Providing customized content and organic social curation, we leverage SEO insights to grow your audiences through engagement.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Social Media Management","Building a community and driving engagement across all relevant channels."
5,"Content & Social",20,publish,template-service-landing.php,"Content & Social","Our Approach To","Providing customized content and organic social curation, we leverage SEO insights to grow your audiences through engagement.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","SEO Optimization","Ensuring your content is discovered by search engines and your target audience."
6,"Lifecycle Marketing",20,publish,template-service-landing.php,"Lifecycle Marketing","Our Approach To","Creating a consumer lifecycle game plan, we drive massive revenue through comprehensive growth and re-targeting strategies.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Email Automation","Nurturing leads and re-engaging past customers with automated email sequences."
6,"Lifecycle Marketing",20,publish,template-service-landing.php,"Lifecycle Marketing","Our Approach To","Creating a consumer lifecycle game plan, we drive massive revenue through comprehensive growth and re-targeting strategies.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Customer Journey Mapping","Understanding and optimizing every touchpoint a customer has with your brand."
6,"Lifecycle Marketing",20,publish,template-service-landing.php,"Lifecycle marketing","Our Approach To","Creating a consumer lifecycle game plan, we drive massive revenue through comprehensive growth and re-targeting strategies.","What We Offer","Ready to Elevate Your Brand?","Let's discuss how our expertise can drive your success.","Start a Project","/contact","Retargeting Campaigns","Bringing back interested visitors to complete their purchase or inquiry."